ID do Colaborador;Cargo;Salário;Avaliação de Desempenho;Percentual de Bônus;Tempo de Empresa (anos);Data da Última Promoção;Data do Último Treinamento;Flag: Treinamento Antes da Admissão
EMP_00001;Gerente de RH;6993,43;5;0,0758;3,34;;2024-07-04;Não
EMP_00002;Engenheiro de Dados;5723,47;5;0,0872;2,33;2024-07-21;2024-02-01;Não
EMP_00003;Desenvolvedor Python;7295,38;4;0,0793;14,84;2014-10-18;2024-01-11;Não
EMP_00004;Analista Financeiro;9046,06;3;0,0527;5,35;;2025-01-05;Não
EMP_00005;Engenheiro de Dados;5531,69;2;0,10949999999999999;14,03;;2025-01-19;Não
EMP_00006;Coordenador de TI;5531,73;3;0,0298;6,01;;2024-01-05;Não
EMP_00007;Analista Financeiro;9158,43;5;0,037200000000000004;3,53;2024-02-25;2024-08-11;Não
EMP_00008;Auxiliar Administrativo;7534,87;1;0,1305;10,48;2017-01-27;2023-09-03;Não
EMP_00009;Desenvolvedor Python;5061,05;3;0,031400000000000004;4,94;2024-05-23;;Não
EMP_00010;Consultor de BI;7085,12;1;0,032400000000000005;5,1;;2024-12-15;Não
EMP_00011;Coordenador de TI;5073,16;4;0,12140000000000001;1,23;;2024-10-05;Não
EMP_00012;Analista de Dados;5068,54;3;0,09880000000000001;10,91;;2023-10-09;Não
EMP_00013;Analista de Dados;6483,92;1;0,0882;13,86;;;Não
EMP_00014;Coordenador de TI;2173,44;1;0,08789999999999999;5,88;2023-02-18;;Não
EMP_00015;Diretor de Operações;2550,16;1;0,0824;2,82;;2024-07-02;Não
EMP_00016;Estagiário;4875,42;4;0,1334;4,45;;2025-02-04;Não
EMP_00017;Analista Financeiro;3974,34;2;0,048799999999999996;12,56;2017-07-08;2023-10-29;Não
EMP_00018;Consultor de BI;6628,49;5;0,22820000000000001;11,02;;;Não
EMP_00019;Gerente de RH;4183,95;4;0,04;14,76;2015-03-25;2024-06-28;Não
EMP_00020;Auxiliar Administrativo;3175,39;1;0,059699999999999996;4,7;2023-09-06;2024-02-22;Não
EMP_00021;Estagiário;8931,3;2;0,1487;4,37;2024-04-04;2024-07-09;Não
EMP_00022;Analista Financeiro;5548,45;5;0,1419;11,38;2024-08-17;2025-05-21;Não
EMP_00023;Auxiliar Administrativo;6135,06;3;0,0009;3,4;2023-11-02;;Não
EMP_00024;Diretor de Operações;3150,5;3;0,060899999999999996;10,54;;;Não
EMP_00025;Coordenador de TI;4911,23;1;0,1672;14,98;;2025-06-03;Não
EMP_00026;Coordenador de TI;6221,85;1;0,1868;14,12;;2024-03-23;Não
EMP_00027;Analista de Dados;3698,01;5;0,0922;12,32;;;Não
EMP_00028;Desenvolvedor Python;6751,4;4;0,0916;1,53;2025-05-07;2025-02-06;Não
EMP_00029;Analista de Dados;4798,72;5;0,0435;5,85;2024-03-02;;Não
EMP_00030;Coordenador de TI;5416,61;3;0,2057;4,55;;2025-05-28;Não
EMP_00031;Coordenador de TI;4796,59;1;0,0812;5,81;;2023-07-08;Não
EMP_00032;Analista de Dados;9704,56;5;0,0925;2,99;;2024-03-04;Não
EMP_00033;Coordenador de TI;5973,01;3;0,1522;10,96;;;Não
EMP_00034;Diretor de Operações;3884,58;3;0,09970000000000001;9,65;2019-05-27;;Não
EMP_00035;Auxiliar Administrativo;7645,09;2;0,0984;3,09;;;Não
EMP_00036;Analista de Dados;3558,31;3;0,0174;3,91;;2024-12-03;Não
EMP_00037;Estagiário;6417,73;1;0,1466;5,08;;2024-12-03;Não
EMP_00038;Estagiário;2080,66;2;0,058600000000000006;5,0;;;Não
EMP_00039;Desenvolvedor Python;3343,63;1;0,03;10,39;2021-03-11;2024-01-07;Não
EMP_00040;Auxiliar Administrativo;6393,72;3;0,0638;4,7;;2024-05-10;Não
EMP_00041;Gerente de RH;7476,93;1;0,0733;7,36;2023-04-17;;Não
EMP_00042;Gerente de RH;6342,74;1;0,1105;3,96;2024-01-11;2025-06-28;Não
EMP_00043;Diretor de Operações;5768,7;4;0,071;13,19;;2024-02-25;Não
EMP_00044;Auxiliar Administrativo;5397,79;1;0,0155;12,88;;2024-01-04;Não
EMP_00045;Estagiário;3042,96;2;0,1325;7,55;2020-11-12;2024-06-28;Não
