ID do Colaborador;Dias de Falta;Dias de Licença Médica;Dias de Férias Usufruídos;Banco de Horas;Horas Extras;Quantidade de Atrasos
EMP_00001;3;2;13;52;20;6
EMP_00002;1;1;14;-80;86;6
EMP_00003;3;5;25;149;23;1
EMP_00004;2;1;21;-92;22;5
EMP_00005;1;2;15;93;72;3
EMP_00006;3;7;20;-88;4;8
EMP_00007;2;2;13;-91;98;3
EMP_00008;2;6;15;196;31;1
EMP_00009;2;3;22;-5;46;7
EMP_00010;2;3;13;-59;1;4
EMP_00011;0;1;11;125;33;2
EMP_00012;1;1;16;161;59;2
EMP_00013;2;3;12;-61;14;3
EMP_00014;0;4;16;142;65;3
EMP_00015;0;5;8;56;0;6
EMP_00016;2;3;20;-32;95;6
EMP_00017;2;0;18;8;91;4
EMP_00018;1;2;14;171;74;7
EMP_00019;2;1;15;171;48;10
EMP_00020;1;5;10;178;36;6
EMP_00021;1;5;17;164;17;5
EMP_00022;2;5;17;161;91;8
EMP_00023;3;2;14;-52;34;4
EMP_00024;4;3;14;76;99;3
EMP_00025;1;2;13;-77;8;3
EMP_00026;3;1;15;-87;67;5
EMP_00027;2;5;13;73;18;1
EMP_00028;2;4;19;16;81;5
EMP_00029;4;2;15;173;45;0
EMP_00030;1;5;16;197;89;4
EMP_00031;3;1;13;122;41;1
EMP_00032;2;4;19;131;3;7
EMP_00033;1;3;15;2;6;3
EMP_00034;0;2;13;113;4;7
EMP_00035;3;3;14;14;80;4
EMP_00036;4;3;21;25;21;3
EMP_00037;3;1;10;107;44;6
EMP_00038;2;4;9;154;61;6
EMP_00039;2;3;16;-65;65;10
EMP_00040;5;5;15;-15;93;6
EMP_00041;2;2;8;123;14;5
EMP_00042;1;6;14;106;47;9
EMP_00043;2;4;18;-34;18;5
EMP_00044;3;5;18;-73;46;5
EMP_00045;1;2;18;115;89;7
EMP_00046;1;2;9;-64;92;6
EMP_00047;3;1;17;1;19;3
EMP_00048;4;2;23;-46;13;5
EMP_00049;1;5;14;-74;62;3
EMP_00050;5;7;20;70;40;7
EMP_00051;0;3;19;42;30;2
EMP_00052;3;2;10;-87;2;3
EMP_00053;1;2;17;-1;100;6
EMP_00054;1;5;16;7;5;7
EMP_00055;4;3;16;143;95;7
EMP_00056;3;2;14;60;76;5
EMP_00057;1;8;14;-34;53;4
EMP_00058;0;8;13;-56;8;4
EMP_00059;2;3;11;144;38;6
EMP_00060;1;2;11;30;23;5
EMP_00061;2;3;12;139;27;3
EMP_00062;1;6;20;186;82;4
EMP_00063;1;0;20;-1;74;2
EMP_00064;1;2;17;123;89;11
EMP_00065;3;1;14;133;68;8
EMP_00066;0;4;11;-38;66;6
EMP_00067;3;2;9;83;96;1
EMP_00068;4;6;14;-73;63;4
EMP_00069;1;2;25;92;14;2
EMP_00070;5;3;13;186;7;2
EMP_00071;3;0;11;29;50;4
EMP_00072;1;3;15;174;19;3
EMP_00073;0;2;17;21;77;5
EMP_00074;2;5;12;54;30;4
EMP_00075;1;3;13;-93;50;3
EMP_00076;1;3;10;125;45;4
EMP_00077;1;2;22;-55;13;6
EMP_00078;6;2;10;144;33;11
EMP_00079;1;4;12;-1;94;5
EMP_00080;0;4;12;81;98;5
EMP_00081;0;0;13;55;12;7
EMP_00082;5;5;10;-25;2;3
EMP_00083;1;3;17;113;41;2
EMP_00084;0;5;16;58;33;13
EMP_00085;1;5;16;128;63;6
EMP_00086;2;2;17;66;57;7
EMP_00087;1;1;22;-28;39;5
EMP_00088;4;2;11;28;12;4
EMP_00089;8;1;8;87;2;1
EMP_00090;2;6;22;76;14;8
EMP_00091;3;5;16;13;48;5
EMP_00092;1;5;13;78;83;5
EMP_00093;0;0;17;-18;87;5
EMP_00094;1;4;9;-12;57;5
EMP_00095;1;4;18;-99;39;6
EMP_00096;4;0;9;158;83;2
EMP_00097;1;5;16;-98;24;6
EMP_00098;2;4;14;100;31;7
EMP_00099;1;4;23;70;21;4
EMP_00100;1;4;19;15;91;3
EMP_00101;2;6;15;-20;4;3
EMP_00102;2;4;14;75;26;4
EMP_00103;4;3;11;130;31;5
EMP_00104;1;1;17;-69;25;6
EMP_00105;1;1;8;-83;56;6
EMP_00106;2;2;16;131;34;8
EMP_00107;3;5;17;-77;54;8
EMP_00108;2;5;13;-91;87;11
EMP_00109;1;1;20;18;19;5
EMP_00110;1;1;12;49;57;9
EMP_00111;4;2;22;197;85;5
EMP_00112;0;1;18;-63;77;11
EMP_00113;2;2;17;-40;45;3
EMP_00114;1;2;25;125;87;3
EMP_00115;0;5;12;-2;85;4
EMP_00116;0;2;10;91;79;4
EMP_00117;3;6;14;52;78;6
EMP_00118;1;0;18;-50;63;2
EMP_00119;1;3;18;-7;16;5
EMP_00120;1;4;22;189;90;5
EMP_00121;1;5;15;-72;71;2
EMP_00122;3;1;15;128;95;5
EMP_00123;1;7;14;-72;57;5
EMP_00124;2;3;18;57;57;8
EMP_00125;2;4;11;-20;67;5
EMP_00126;2;2;18;168;15;3
EMP_00127;7;1;15;31;41;2
EMP_00128;4;0;15;37;66;5
EMP_00129;3;3;21;101;15;7
EMP_00130;4;1;18;-45;74;6
EMP_00131;4;4;15;-97;93;5
EMP_00132;2;0;11;-2;58;2
EMP_00133;6;1;19;178;55;6
EMP_00134;0;7;14;114;32;9
EMP_00135;1;4;15;-17;28;7
EMP_00136;4;4;18;-44;61;7
EMP_00137;1;2;11;71;97;5
EMP_00138;1;4;12;4;51;2
EMP_00139;1;1;12;-6;49;6
EMP_00140;2;3;17;-37;22;4
EMP_00141;4;5;18;179;39;5
EMP_00142;3;2;14;-32;63;6
EMP_00143;1;5;17;-46;38;11
EMP_00144;3;0;15;157;45;3
EMP_00145;2;3;12;-49;84;6
EMP_00146;0;3;14;48;22;3
EMP_00147;3;2;12;60;96;2
EMP_00148;2;1;17;158;76;4
EMP_00149;1;0;22;-66;100;5
EMP_00150;2;6;24;-86;97;4
EMP_00151;2;1;13;-22;68;5
EMP_00152;2;4;11;193;52;7
EMP_00153;3;3;14;-10;41;6
EMP_00154;1;3;9;-13;27;3
EMP_00155;1;0;14;-97;93;8
EMP_00156;1;2;18;113;6;8
EMP_00157;3;1;18;119;82;6
EMP_00158;3;5;21;164;66;6
EMP_00159;2;1;11;-50;86;5
EMP_00160;3;2;15;-31;2;6
EMP_00161;4;1;13;46;22;5
EMP_00162;0;5;12;50;54;5
EMP_00163;2;3;16;16;62;6
EMP_00164;2;2;11;73;77;6
EMP_00165;0;4;8;193;28;4
EMP_00166;1;7;17;-30;19;6
EMP_00167;1;4;20;195;87;5
EMP_00168;1;1;21;-100;21;2
EMP_00169;3;3;18;54;34;5
EMP_00170;0;3;18;-70;68;9
EMP_00171;1;4;17;180;54;7
EMP_00172;5;3;19;176;13;7
EMP_00173;1;1;20;-23;88;11
EMP_00174;0;3;12;199;88;5
EMP_00175;1;2;7;71;53;5
EMP_00176;1;7;20;-71;64;4
EMP_00177;0;5;15;-26;0;4
EMP_00178;0;5;17;194;22;3
EMP_00179;0;4;14;-48;73;2
EMP_00180;0;2;8;150;52;7
EMP_00181;1;1;11;-5;36;1
EMP_00182;1;4;16;-84;74;1
EMP_00183;2;4;13;-3;35;1
EMP_00184;0;3;16;66;43;4
EMP_00185;3;4;15;-86;65;6
EMP_00186;1;2;13;-26;62;5
EMP_00187;3;2;21;-81;15;3
